OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR
7204,500011,Želechovice nad Dřevnicí,1,1,166,166,"""Nezávislí starostové pro kraj""","""Nezáv.starostové pro kraj""","""NSK""",1,166,6718,59.77,7
7204,500011,Želechovice nad Dřevnicí,1,2,143,143,Spojení demokraté - Sdružení nezávislých,Spojení demokraté-Sdruž.nezáv.,SD-SN,1,143,4520,40.22,4
7105,500020,Petrov nad Desnou,1,1,53,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,693,11.75,1
7105,500020,Petrov nad Desnou,1,2,7,7,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,985,16.7,2
7105,500020,Petrov nad Desnou,1,3,902,90,Sdružení nezávislých kandidátů - Hasiči Petrovu,Sdruž.nezáv.kand.-Hasiči Pet.,SNK,1,080,1720,29.17,3
7105,500020,Petrov nad Desnou,1,4,903,90,Sdružení nezávislých kandidátů - SNK-společně to dokážeme,Sdruž.nezáv.kand.-SNKsp.to do.,SNK,1,080,1381,23.42,3
7105,500020,Petrov nad Desnou,1,5,901,90,Sdružení nezávislých kandidátů - Společně pro změny,Sdruž.nezáv.kand.-Sp.pro změny,SNK,1,080,1117,18.94,2
1100,500054,Praha 1,1,1,129,129,SNK Evropští demokraté,SNK Evropští demokraté,SNK ED,1,129,27855,6.91,3
1100,500054,Praha 1,1,2,1,1,Křesťanská a demokratická unie - Československá strana lidová,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL,1,001,18669,4.63,0
1100,500054,Praha 1,1,3,98,98,"Pravý Blok-strana za ODVOLAT.politiků, NÍZKÉ daně, MIN.byrokracie, SPRAV.justici, REFER.a PŘÍMOU demokr. WWW.CIBULKA.NET",Pravý Blok,PB,1,098,730,2.11,0
1100,500054,Praha 1,1,4,601,601,SONOB se Zelenými (www.sonobazeleni.cz) za ochranu bydlení a proti zdražování nájemného,SONOB se Zelenými za ochr.byd.,,2,"148,177",16421,4.07,0
1100,500054,Praha 1,1,5,144,144,Věci veřejné,Věci veřejné,VV,1,144,82106,20.37,9
1100,500054,Praha 1,1,6,53,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,157135,38.99,17
