KRAJ,OKRES,TYPZASTUP,DRUHZASTUP,KODZASTUP,NAZEVZAST,OBEC,NAZEVOBCE,COBROP,CPOU,REGURAD,OBVODY,COBVODU,MANDATY,POCOBYV,MINOKRSEK1,MAXOKRSEK1,MINOKRSEK2,MAXOKRSEK2,MINOKRSEK3,MAXOKRSEK3,MINOKRSEK4,MAXOKRSEK4,MINOKRSEK5,MAXOKRSEK5,MINOKRSEK6,MAXOKRSEK6,MINOKRSEK7,MAXOKRSEK7,MINOKRSEK8,MAXOKRSEK8,MINOKRSEK9,MAXOKRSEK9,MINOKRSE10,MAXOKRSE10,TYPDUVODU,POCET_VS,STAV_OBCE
7200,7204,1,1,500011,Želechovice nad Dřevnicí,500011,Želechovice nad Dřevnicí,209,662,585068,0,1,15,1926,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7100,7105,1,1,500020,Petrov nad Desnou,500020,Petrov nad Desnou,192,860,523704,0,1,11,1173,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
8100,8104,1,1,500046,Libhošť,500046,Libhošť,226,792,599191,0,1,15,1680,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1100,1100,2,5,500054,Praha 1,500054,Praha 1,0,1,500054,0,1,35,30502,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
7200,7203,1,1,500062,Krhová,500062,Krhová,206,871,545058,0,1,15,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
7200,7203,1,1,500071,Poličná,500071,Poličná,206,871,545058,0,1,13,1727,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
1100,1100,2,5,500089,Praha 2,500089,Praha 2,0,2,500089,0,1,35,49389,29,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
1100,1100,2,5,500097,Praha 3,500097,Praha 3,0,3,500097,1,4,36,73497,74,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1100,1100,2,5,500097,Praha 3,500097,Praha 3,0,3,500097,2,1,9,73497,135,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1100,1100,2,5,500097,Praha 3,500097,Praha 3,0,3,500097,2,2,9,73497,74,78,80,89,95,95,130,134,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1100,1100,2,5,500097,Praha 3,500097,Praha 3,0,3,500097,2,3,9,73497,79,79,90,93,96,110,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1100,1100,2,5,500097,Praha 3,500097,Praha 3,0,3,500097,2,4,9,73497,94,94,111,112,114,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1100,1100,2,5,500119,Praha 4,500119,Praha 4,0,4,500119,1,5,45,129475,154,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1100,1100,2,5,500119,Praha 4,500119,Praha 4,0,4,500119,2,1,9,129475,154,157,160,164,175,180,250,261,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1100,1100,2,5,500119,Praha 4,500119,Praha 4,0,4,500119,2,2,9,129475,229,229,248,249,262,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1100,1100,2,5,500119,Praha 4,500119,Praha 4,0,4,500119,2,3,9,129475,220,228,230,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1100,1100,2,5,500119,Praha 4,500119,Praha 4,0,4,500119,2,4,9,129475,165,169,171,171,185,185,187,188,191,191,193,194,203,216,0,0,0,0,0,0,0,8,0
1100,1100,2,5,500119,Praha 4,500119,Praha 4,0,4,500119,2,5,9,129475,158,159,170,170,172,174,181,184,186,186,189,190,192,192,195,202,217,219,284,284,0,8,0
1100,1100,2,5,500143,Praha 5,500143,Praha 5,0,11,500143,0,1,45,84303,285,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1100,1100,2,5,500178,Praha 6,500178,Praha 6,0,21,500178,0,1,45,101089,397,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1100,1100,2,5,500186,Praha 7,500186,Praha 7,0,27,500186,0,1,27,41818,527,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1100,1100,2,5,500208,Praha 8,500208,Praha 8,0,29,500208,1,3,45,102905,564,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1100,1100,2,5,500208,Praha 8,500208,Praha 8,0,29,500208,2,1,15,102905,564,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1100,1100,2,5,500208,Praha 8,500208,Praha 8,0,29,500208,2,2,15,102905,606,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1100,1100,2,5,500208,Praha 8,500208,Praha 8,0,29,500208,2,3,15,102905,641,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1100,1100,2,5,500216,Praha 9,500216,Praha 9,0,33,500216,1,3,32,52572,708,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1100,1100,2,5,500216,Praha 9,500216,Praha 9,0,33,500216,2,1,12,52572,713,713,724,724,735,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1100,1100,2,5,500216,Praha 9,500216,Praha 9,0,33,500216,2,2,9,52572,725,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1100,1100,2,5,500216,Praha 9,500216,Praha 9,0,33,500216,2,3,11,52572,708,712,714,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1100,1100,2,5,500224,Praha 10,500224,Praha 10,0,46,500224,1,4,36,111048,802,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
1100,1100,2,5,500224,Praha 10,500224,Praha 10,0,46,500224,2,1,9,111048,802,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
1100,1100,2,5,500224,Praha 10,500224,Praha 10,0,46,500224,2,2,9,111048,829,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1100,1100,2,5,500224,Praha 10,500224,Praha 10,0,46,500224,2,3,9,111048,855,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1100,1100,2,5,500224,Praha 10,500224,Praha 10,0,46,500224,2,4,9,111048,883,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
8100,8104,1,1,500259,Veřovice,500259,Veřovice,216,789,599344,0,1,13,1979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
8100,8106,1,1,500291,Vřesina,500291,Vřesina,230,844,554821,0,1,15,2684,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
7100,7102,1,3,500496,Olomouc,500496,Olomouc,188,803,500496,1,5,45,100362,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
7100,7102,1,3,500496,Olomouc,500496,Olomouc,188,803,500496,2,1,9,100362,1,7,9,17,19,19,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
7100,7102,1,3,500496,Olomouc,500496,Olomouc,188,803,500496,2,2,9,100362,20,28,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
7100,7102,1,3,500496,Olomouc,500496,Olomouc,188,803,500496,2,3,9,100362,39,50,52,54,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
7100,7102,1,3,500496,Olomouc,500496,Olomouc,188,803,500496,2,4,9,100362,18,18,51,51,55,55,56,69,72,72,0,0,0,0,0,0,0,0,0,0,0,12,0
7100,7102,1,3,500496,Olomouc,500496,Olomouc,188,803,500496,2,5,9,100362,8,8,70,71,73,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
7100,7102,1,1,500526,Bělkovice-Lašťany,500526,Bělkovice-Lašťany,188,803,500496,0,1,15,2099,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
7100,7102,1,1,500623,Bílá Lhota,500623,Bílá Lhota,186,802,503444,0,1,15,1118,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
7100,7102,1,1,500801,Blatec,500801,Blatec,188,803,500496,0,1,7,601,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
7100,7102,1,1,500852,Bohuňovice,500852,Bohuňovice,188,803,500496,0,1,15,2530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7100,7102,1,1,500861,Bouzov,500861,Bouzov,186,802,503444,0,1,15,1529,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
7100,7102,1,1,500879,Bystročice,500879,Bystročice,188,803,500496,0,1,7,681,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
4200,4207,2,5,501298,Ústí nad Labem-Severní Terasa,554804,Ústí nad Labem,89,462,501298,0,1,15,20550,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
7100,7102,1,1,501476,Dlouhá Loučka,501476,Dlouhá Loučka,193,805,505587,0,1,15,1907,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
7100,7102,1,1,501646,Dolany,501646,Dolany,188,803,500496,0,1,15,2499,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
7100,7102,1,1,501751,Drahanovice,501751,Drahanovice,188,803,500496,0,1,15,1680,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
